id,text,sentiment
61c32e21-3547-40b5-a3c1-b70a59f26ca1,"the camera is fantastic for work, great value",1
3cf94aa9-c2e1-4063-a646-0db9ae1f092b,"the camera is slow for gaming, waste of money",0
5e354346-6f92-430e-9a06-705e3e7b9c2b,"this product performs terrible for school, do not recommend",0
8c0f915f-fdf8-4003-9178-ac5af491c8e8,"the headphones performs great for the price, shipping was fast",1
2daa8565-51a6-42d3-b95e-685a882dd2c4,"this product works fragile for school, would not buy again",0
fb1bd4a8-358b-4d1b-8168-8f9fe248b48e,"the tablet performs solid for daily use, very satisfied",1
371fc9f4-1d3d-4427-849d-8c540cec1160,"the blender looks unreliable, quality is poor",0
6c2c779c-3e6d-42b9-a230-176ac3e3ea18,the watch feels unreliable,0
6343ee16-00ad-4193-8824-94b3671fb2c3,"the shoes is terrible for travel, quality is poor",0
89a260a9-cd4b-4ce7-84c3-537663ab4f96,"the tablet looks reliable for school, shipping was fast",1
f3d9a6f6-e19f-4dc4-a2d3-df8dc65dedd2,"the laptop is slow overall, shipping was slow",0
d6027d8e-2bb4-4552-90ed-540af47e4742,"this product is fast for travel, very satisfied",1
cdd93d90-a04e-49e8-b426-bb5b5218146a,"the jacket performs unreliable, shipping was slow",0
418e4cba-46fd-4dd7-ba1d-0e54d07b068a,"the blender performs slow for work, waste of money",0
9ae4bbbf-d784-4790-8bd5-5e1390ca3a4e,"the jacket works bad, shipping was slow",0
7fa1f9bd-943e-4bbe-b35d-2b69b5807ba6,"this product performs reliable for school, great value",1
6c45c5e9-f996-4bc9-a4ab-150278938465,"the jacket works solid for school, great value",1
49a2bb01-a421-4d66-9db0-dc11451785df,"the laptop feels flimsy for daily use, do not recommend",0
0a221b2d-96f9-4806-9ea0-b47300ed1a18,"the tablet performs disappointing for daily use, waste of money",0
7c42fc2c-fe84-4abb-8fbc-717494fe6c72,"the headphones is slow overall, shipping was slow",0
f1e955b7-89a6-4144-a29e-83e48c743e1d,"the camera works solid overall, quality is top-notch",1
a5108402-9511-4c2e-a68d-15aeab575263,"the watch is amazing for school, shipping was fast",1
f449efb8-3c3f-4958-aa2a-e6cf53956ea1,"the laptop performs great for daily use, quality is top-notch",1
7cc8ce6f-ae0b-4ca4-ac69-1b76c0d6f679,"the phone looks durable, very satisfied",1
4bede6f2-0339-446b-a72a-cf4c7cbe72ed,"the headphones works excellent for the price, very satisfied",1
c2bd5dfb-00ae-431e-a368-a5defddb56ab,"the headphones looks fantastic for work, would buy again",1
54b8b631-9a07-495f-badb-6c43aed2b417,"this product is awful for work, quality is poor",0
33d4e7bc-52fc-45d2-9178-5bd6eeddebab,"the blender is solid for school, shipping was fast",1
91e5f2a3-4085-4bbd-8fb8-0ba4ed044126,"the jacket works worth it for work, would buy again",1
2537452c-550c-4a27-b627-c33c4bacf1ef,"the laptop works amazing, battery lasts long",1
a254dc90-6dff-4767-a25e-0f191c41bade,"the watch looks worth it for gaming, battery lasts long",1
c1c6e3b6-9c63-46cb-be45-effbc6cb184e,"the watch performs durable, highly recommend",1
a73f9a47-888a-478c-baed-4698e665998e,"the tablet is not worth it overall, quality is poor",0
5b4ee494-d08a-4ccc-ae41-b9c75d78a268,"the phone performs not worth it, would not buy again",0
2c34b40a-0b74-4e82-b746-a7cec72891cf,"the laptop looks fast, battery lasts long",1
e839b096-3d5e-460f-9bda-fa0458f968c3,"the shoes is terrible overall, quality is poor",0
33c66e45-c180-45bf-8a62-08d8bb9f8723,"the camera feels slow for the price, shipping was slow",0
9f23b82d-3d6c-4aff-9319-4a9597e821f8,"the phone is fast overall, great value",1
2e89d5c6-6e5b-431d-96bb-7a9c57a05152,"the jacket works flimsy for the price, do not recommend",0
aa09cab0-277d-4f4d-8f11-265196b8834e,"this product works unreliable for gaming, quality is poor",0
bf4fb340-4729-4252-8c63-9aa7487aec6a,the watch works terrible for gaming,0
34d3be44-bb26-4834-ad87-45278c4a5ccf,"this product is worth it for school, very satisfied",1
11fb240a-797a-43ac-9547-1f9ee44f5243,"the phone performs fantastic overall, quality is top-notch",1
9fe64e68-f772-4177-880c-500ed49936bb,"the phone is reliable for daily use, would buy again",1
7c0f7259-b8c3-4f9f-865f-28c5a6eeaa0c,"the jacket feels uncomfortable for the price, would not buy again",0
15e994b5-e6b8-4df3-8cbf-94330fd02d08,"the jacket performs great, highly recommend",1
d6c803f0-b5ea-4c1b-998b-8e4da9b77845,"the shoes is not worth it for the price, would not buy again",0
40e96544-b5c9-4dc2-b512-5211f7a8bd42,"the tablet works fast, would buy again",1
721d339b-811d-42a1-ba16-a9c2673e2a95,"the phone looks reliable for work, highly recommend",1
f9d8076c-4fb8-4146-a7df-223cbd0c12e1,"the tablet feels flimsy for travel, shipping was slow",0
7f6c4dac-8909-4c3c-b0e7-85a155e15b3e,"the blender looks fragile for daily use, would not buy again",0
e0943743-ac61-4d7c-923e-6362ff91e690,"the blender feels awful for gaming, would not buy again",0
